scene,metric,before,after,delta
Main Test Set,target_hit_rate,0.9393939393939394,0.9696969696969697,0.030303030303030276
Main Test Set,avg_unique_source_count,1.9242424242424243,2.5606060606060606,0.6363636363636362
Main Test Set,avg_first_token_seconds,4.866376130636347,7.28716700819683,2.420790877560483
Main Test Set,refusal_success_rate,0.6666666666666666,0.5833333333333334,-0.08333333333333326
Main Test Set,avg_correctness,1.8636363636363635,1.893939393939394,0.030303030303030498
Main Test Set,avg_completeness,1.7121212121212122,1.7272727272727273,0.015151515151515138
Main Test Set,avg_faithfulness,1.878787878787879,1.893939393939394,0.015151515151515138
Main Test Set,avg_retrieval_relevance,1.893939393939394,1.9545454545454546,0.06060606060606055
Conversational Subset,target_hit_rate,0.8,0.8666666666666667,0.06666666666666665
Conversational Subset,avg_unique_source_count,2.2666666666666666,3.4,1.1333333333333333
Conversational Subset,avg_first_token_seconds,5.086722858200664,6.165441225134418,1.078718366933754
Conversational Subset,refusal_success_rate,0.5,0.5,0.0
Conversational Subset,avg_correctness,1.7333333333333334,1.8666666666666667,0.1333333333333333
Conversational Subset,avg_completeness,1.8666666666666667,1.9333333333333333,0.06666666666666665
Conversational Subset,avg_faithfulness,1.8,1.8666666666666667,0.06666666666666665
Conversational Subset,avg_retrieval_relevance,1.6666666666666667,1.8,0.1333333333333333
